index,titulo,autor,n_pags,editora,genero 
 0,"Orçamento sem falhas","Nath Finanças",128,Intrínseca,"Economia, Finanças / Literatura Brasileira / Não-ficção " 
 1,"Minha Sombria Vanessa","Kate Elizabeth Russell",432,Intrínseca,"Drama / Ficção / Literatura Estrangeira / Suspense e Mistério " 
 2,Recursão,"Blake Crouch",320,Intrínseca,"Ficção / Ficção científica / Literatura Estrangeira " 
 3,"M; o Filho do Século","Antonio Scurati",816,Intrínseca,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Política " 
 4,"Oblivion Song: Entre Dois Mundos","Robert Kirkman",136,Intrínseca,"Ficção / HQ, comics, mangá / Literatura Estrangeira " 
 5,"Não se humilha; não","Isabela Freitas",320,Intrínseca,"Autoajuda / Literatura Brasileira / Não-ficção " 
 6,"Os segredos que guardamos","Lara Prescott",368,Intrínseca,"História Geral / Literatura Estrangeira / Não-ficção " 
 7,"Baby Shark!","Stevie Lewis",32,Intrínseca,"Ficção / Infantil / Literatura Estrangeira " 
 8,"A Guerra Pela Uber","Mike Isaac",464,Intrínseca,"Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo " 
 9,"Cidade nas Trevas","Adam Christopher",384,Intrínseca,"Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério " 
 10,"Território Lovecraft","Matt Ruff",352,Intrínseca,"Fantasia / Ficção científica / História / Horror / Literatura Estrangeira / Suspense e Mistério / Terror " 
 11,"A última porta","Scott Cawthon",336,Intrínseca,"Aventura / Jogos / Literatura Estrangeira / Terror " 
 12,"A Última Festa (e-Book)","Lucy Foley",304,Intrínseca," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Ficção / Literatura Estrangeira / Crime / Romance policial / Ficção / Suspense e Mistério / Literatura Estrangeira / Romance policial / Suspense e Mistério " 
 13,"Uma chance de lutar"," Elizabeth Warren ",400,Intrínseca,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção " 
 14,"Uma Dor Tão Doce","David Nicholls",384,Intrínseca,"Romance / Literatura Estrangeira " 
 15,"A Última Festa","Lucy Foley",304,Intrínseca," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério " 
 16,Coragem,"Raina Telgemeier",224,Intrínseca,"HQ, comics, mangá / Jovem adulto " 
 17,"A Convenção das Aves","Ransom Riggs",320,Intrínseca,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Horror " 
 18,"Como o Cérebro Cria","David Eagleman",304,Intrínseca,"Matemática / Medicina e Saúde / Não-ficção " 
 19,1793,"Niklas Natt och Dag",432,Intrínseca,"Ficção / Literatura Estrangeira / Suspense e Mistério " 
 20,"Território Lovecraft","Matt Ruff",352,Intrínseca,"Fantasia / Ficção científica / História / Horror / Literatura Estrangeira / Suspense e Mistério / Terror " 
 21,"Para Todos os Garotos que Já Amei","Jenny Han",320,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 22,"P.S.: Ainda Amo Você","Jenny Han",304,Intrínseca,"Ficção / Infantojuvenil / Literatura Brasileira / Literatura Estrangeira / Romance " 
 23,"O Livro de Líbero","Alfredo Nugent Setubal",256,Intrínseca,"Fantasia / Ficção / Literatura Brasileira " 
 24,"Terra Americana","Jeanine Cummins",416,Intrínseca,"Ficção / Literatura Estrangeira " 
 25,"Você não merece ser feliz","Daniel Furlan",160,Intrínseca,"Autoajuda / Humor, Comédia / Literatura Brasileira " 
 26,"O Livro De Líbero","Alfredo Nugent Setubal",256,Intrínseca,"Fantasia / Ficção / Literatura Brasileira " 
 27,"Princípios Para O Sucesso","Ray Dalio",168,Intrínseca,"Autoajuda / Literatura Estrangeira " 
 28,"Black Hammer (Vol #4)","Jeff Lemire",192,Intrínseca,"HQ, comics, mangá / Literatura Estrangeira " 
 29,"As Outras Pessoas","C.J. Tudor",304,Intrínseca,"Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério " 
 30,"Uma Dor Tão Doce","David Nicholls",384,Intrínseca,"Literatura Estrangeira / Romance " 
 31,"A Grande Gripe","John M. Barry",608,Intrínseca,"História Geral / Literatura Estrangeira / Medicina e Saúde " 
 32,"The Outsiders","S. E. Hinton",240,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 33,SuperNormal,"Greg James",336,Intrínseca,"Infantil / Infantojuvenil / Literatura Estrangeira " 
 34,"Inimigo Mortal","Michael T. Osterholm",304,Intrínseca,"Biologia / Literatura Estrangeira / Não-ficção " 
 35,"O Silêncio da Cidade Branca","Eva García Sáenz de Urturi",416,Intrínseca,"Literatura Estrangeira / Romance policial " 
 36,"A Casa Holandesa","Ann Patchett",345,Intrínseca,"Ficção / Literatura Estrangeira / Romance " 
 37,"A Tumba do Tirano","Rick Riordan",368,Intrínseca,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira " 
