index,titulo,autor,disp,genero,n_pags,editora 
 0,"Orçamento sem falhas","Nath Finanças",DISPONIVEL,"Economia, Finanças / Literatura Brasileira / Não-ficção ",128,Intrínseca 
 1,"Minha Sombria Vanessa","Kate Elizabeth Russell",DISPONIVEL,"Drama / Ficção / Literatura Estrangeira / Suspense e Mistério ",432,Intrínseca 
 2,Recursão,"Blake Crouch",DISPONIVEL,"Ficção / Ficção científica / Literatura Estrangeira ",320,Intrínseca 
 3,"M; o Filho do Século","Antonio Scurati",DISPONIVEL,"Biografia, Autobiografia, Memórias / História / Literatura Estrangeira / Política ",816,Intrínseca 
 4,"Oblivion Song: Entre Dois Mundos","Robert Kirkman",DISPONIVEL,"Ficção / HQ, comics, mangá / Literatura Estrangeira ",136,Intrínseca 
 5,"Não se humilha; não","Isabela Freitas",DISPONIVEL,"Autoajuda / Literatura Brasileira / Não-ficção ",320,Intrínseca 
 6,"Os segredos que guardamos","Lara Prescott",DISPONIVEL,"História Geral / Literatura Estrangeira / Não-ficção ",368,Intrínseca 
 7,"Baby Shark!","Stevie Lewis",DISPONIVEL,"Ficção / Infantil / Literatura Estrangeira ",32,Intrínseca 
 8,"A Guerra Pela Uber","Mike Isaac",DISPONIVEL,"Literatura Estrangeira / Não-ficção / Negócios e Empreendedorismo ",464,Intrínseca 
 9,"Cidade nas Trevas","Adam Christopher",DISPONIVEL,"Ficção / Jovem adulto / Literatura Estrangeira / Suspense e Mistério ",384,Intrínseca 
 10,"Território Lovecraft","Matt Ruff",DISPONIVEL,"Fantasia / Ficção científica / História / Horror / Literatura Estrangeira / Suspense e Mistério / Terror ",352,Intrínseca 
 11,"A última porta","Scott Cawthon",DISPONIVEL,"Aventura / Jogos / Literatura Estrangeira / Terror ",336,Intrínseca 
 12,"A Última Festa (e-Book)","Lucy Foley",DISPONIVEL," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Ficção / Literatura Estrangeira / Crime / Romance policial / Ficção / Suspense e Mistério / Literatura Estrangeira / Romance policial / Suspense e Mistério ",304,Intrínseca 
 13,"Uma chance de lutar"," Elizabeth Warren ",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",400,Intrínseca 
 14,"Uma Dor Tão Doce","David Nicholls",DISPONIVEL,"Romance / Literatura Estrangeira ",384,Intrínseca 
 15,"A Última Festa","Lucy Foley",DISPONIVEL," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ",304,Intrínseca 
 16,Coragem,"Raina Telgemeier",DISPONIVEL,"HQ, comics, mangá / Jovem adulto ",224,Intrínseca 
 17,"A Convenção das Aves","Ransom Riggs",DISPONIVEL,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Horror ",320,Intrínseca 
 18,"Como o Cérebro Cria","David Eagleman",DISPONIVEL,"Matemática / Medicina e Saúde / Não-ficção ",304,Intrínseca 
 19,1793,"Niklas Natt och Dag",DISPONIVEL,"Ficção / Literatura Estrangeira / Suspense e Mistério ",432,Intrínseca 
