,titulo,autor,disp,editora 
0,Orçamento sem falhas,Nath Finanças,/DISPONIVEL,Intrínseca 
1,Minha Sombria Vanessa,Kate Elizabeth Russell,/DISPONIVEL,Intrínseca 
2,Recursão,Blake Crouch,/DISPONIVEL,Intrínseca 
3,M; o Filho do Século,Antonio Scurati,/DISPONIVEL,Intrínseca 
4,Oblivion Song: Entre Dois Mundos,Robert Kirkman,/DISPONIVEL,Intrínseca 
5,Não se humilha; não,Isabela Freitas,/DISPONIVEL,Intrínseca 
6,Os segredos que guardamos,Lara Prescott,/DISPONIVEL,Intrínseca 
7,Baby Shark!,Stevie Lewis,/DISPONIVEL,Intrínseca 
8,A Guerra Pela Uber,Mike Isaac,/DISPONIVEL,Intrínseca 
9,Cidade nas Trevas,Adam Christopher,/DISPONIVEL,Intrínseca 
10,Território Lovecraft,Matt Ruff,/DISPONIVEL,Intrínseca 
11,A última porta,Scott Cawthon,/DISPONIVEL,Intrínseca 
12,A Última Festa (e-Book),Lucy Foley,/DISPONIVEL,Intrínseca 
13,Uma chance de lutar, Elizabeth Warren ,/DISPONIVEL,Intrínseca 
14,Uma Dor Tão Doce,David Nicholls,/DISPONIVEL,Intrínseca 
15,A Última Festa,Lucy Foley,/DISPONIVEL,Intrínseca 
16,Coragem,Raina Telgemeier,/DISPONIVEL,Intrínseca 
17,A Convenção das Aves,Ransom Riggs,/DISPONIVEL,Intrínseca 
18,Como o Cérebro Cria,David Eagleman,/DISPONIVEL,Intrínseca 
19,1793,Niklas Natt och Dag,/DISPONIVEL,Intrínseca 
20,Território Lovecraft,Matt Ruff,/DISPONIVEL,Intrínseca 
21,Para Todos os Garotos que Já Amei,Jenny Han,/DISPONIVEL,Intrínseca 
22,P.S.: Ainda Amo Você,Jenny Han,/DISPONIVEL,Intrínseca 
23,O Livro de Líbero,Alfredo Nugent Setubal,/DISPONIVEL,Intrínseca 
24,Terra Americana,Jeanine Cummins,/DISPONIVEL,Intrínseca 
25,Você não merece ser feliz,Daniel Furlan,/DISPONIVEL,Intrínseca 
26,O Livro De Líbero,Alfredo Nugent Setubal,/DISPONIVEL,Intrínseca 
27,Princípios Para O Sucesso,Ray Dalio,/DISPONIVEL,Intrínseca 
28,Black Hammer (Vol #4),Jeff Lemire,/DISPONIVEL,Intrínseca 
29,As Outras Pessoas,C.J. Tudor,/DISPONIVEL,Intrínseca 
30,Uma Dor Tão Doce,David Nicholls,/DISPONIVEL,Intrínseca 
31,A Grande Gripe,John M. Barry,/DISPONIVEL,Intrínseca 
32,The Outsiders,S. E. Hinton,/DISPONIVEL,Intrínseca 
