,titulo,autor,disp
0,Orçamento sem falhas,Nath Finanças,/DISPONIVEL
1,Minha Sombria Vanessa,Kate Elizabeth Russell,/DISPONIVEL
2,Recursão,Blake Crouch,/DISPONIVEL
3,M; o Filho do Século,Antonio Scurati,/DISPONIVEL
4,Oblivion Song: Entre Dois Mundos,Robert Kirkman,/DISPONIVEL
5,Não se humilha; não,Isabela Freitas,/DISPONIVEL
6,Os segredos que guardamos,Lara Prescott,/DISPONIVEL
7,Baby Shark!,Stevie Lewis,/DISPONIVEL
8,A Guerra Pela Uber,Mike Isaac,/DISPONIVEL
9,Cidade nas Trevas,Adam Christopher,/DISPONIVEL
10,Território Lovecraft,Matt Ruff,/DISPONIVEL
11,A última porta,Scott Cawthon,/DISPONIVEL
12,A Última Festa (e-Book),Lucy Foley,/DISPONIVEL
13,Uma chance de lutar, Elizabeth Warren ,/DISPONIVEL
14,Uma Dor Tão Doce,David Nicholls,/DISPONIVEL
15,A Última Festa,Lucy Foley,/DISPONIVEL
16,Coragem,Raina Telgemeier,/DISPONIVEL
17,A Convenção das Aves,Ransom Riggs,/DISPONIVEL
18,Como o Cérebro Cria,David Eagleman,/DISPONIVEL
19,1793,Niklas Natt och Dag,/DISPONIVEL
20,Território Lovecraft,Matt Ruff,/DISPONIVEL
21,Para Todos os Garotos que Já Amei,Jenny Han,/DISPONIVEL
22,P.S.: Ainda Amo Você,Jenny Han,/DISPONIVEL
23,O Livro de Líbero,Alfredo Nugent Setubal,/DISPONIVEL
24,Terra Americana,Jeanine Cummins,/DISPONIVEL
25,Você não merece ser feliz,Daniel Furlan,/DISPONIVEL
26,O Livro De Líbero,Alfredo Nugent Setubal,/DISPONIVEL
27,Princípios Para O Sucesso,Ray Dalio,/DISPONIVEL
28,Black Hammer (Vol #4),Jeff Lemire,/DISPONIVEL
29,As Outras Pessoas,C.J. Tudor,/DISPONIVEL
30,Uma Dor Tão Doce,David Nicholls,/DISPONIVEL
31,A Grande Gripe,John M. Barry,/DISPONIVEL
32,The Outsiders,S. E. Hinton,/DISPONIVEL
33,SuperNormal,Greg James,/DISPONIVEL
34,Inimigo Mortal,Michael T. Osterholm,/DISPONIVEL
35,O Silêncio da Cidade Branca,Eva García Sáenz de Urturi,/DISPONIVEL
36,A Casa Holandesa,Ann Patchett,/DISPONIVEL
37,A Tumba do Tirano,Rick Riordan,/DISPONIVEL
38,As Outras Pessoas,C.J. Tudor,/DISPONIVEL
39,Coraline,Neil Gaiman,/DISPONIVEL
40,Sol da Meia-Noite,Stephenie Meyer,/DISPONIVEL
41,Malorie,Josh Malerman,/DISPONIVEL
42,Observações sobre um planeta nervoso,Matt Haig,/DISPONIVEL
43,A Vida Mentirosa dos Adultos,Elena Ferrante,/DISPONIVEL
44,Capital e Ideologia,Thomas Piketty,/DISPONIVEL
45,A vida mentirosa dos adultos,Elena Ferrante,/DISPONIVEL
46,O Árabe do Futuro,Riad Sattouf,/DISPONIVEL
47,Com Amor; Creekwood,Becky Albertalli,/DISPONIVEL
48,A Dança da Água,Ta-Nehisi Coates,/DISPONIVEL
49,A Casa Holandesa,Ann Patchett,/DISPONIVEL
50,Os Dois Mundos de Isabel,Daniela Arbex,/DISPONIVEL
51,Cartas para Martin,Nic Stone,/DISPONIVEL
52,A dança da água,Ta-Nehisi Coates,/DISPONIVEL
53,Adultos, Emma Jane Unsworth ,/DISPONIVEL
54,Piano Mecânico,Kurt Vonnegut,/DISPONIVEL
55,Amor & Sorte,Jenna Evans Welch,/DISPONIVEL
56,Amor & Sorte,Jenna Evans Welch,/DISPONIVEL
57,A Regra é Não Ter Regras,Reed Hastings,/DISPONIVEL
58,Árvore dos Desejos,K. A. Applegate,/DISPONIVEL
59,A troca,Beth O'Leary,/DISPONIVEL
60,A Troca,Beth O'Leary,/DISPONIVEL
61,A Caminho da Guerra,Graham Allison,/DISPONIVEL
62,Nada Ortodoxa,Deborah Feldman,/DISPONIVEL
63,Ruptura,Monica de Bolle,/DISPONIVEL
64,Cercado de Idiotas,THOMAS ERIKSON,/DISPONIVEL
65,Box Neil Gaiman,NEIL GAIMAN,/DISPONIVEL
66,A Torre de Nero,Rick Riordan,/DISPONIVEL
67,Quase uma Rockstar,Matthew Quick,/DISPONIVEL
68,Promessa de Pai,Joe Biden,/DISPONIVEL
69,Shine,Jessica Jung,/DISPONIVEL
70,O Refúgio,Mick Kitson,/DISPONIVEL
71,Estas Verdades,Jill Lepore,/DISPONIVEL
72,Adultos, Emma Jane Unsworth ,/DISPONIVEL
73,Pachinko,Min Jin Lee,/DISPONIVEL
74,A Troca,Beth O'Leary,/DISPONIVEL
75,A cachorra,Pilar Quintana,/DISPONIVEL
76,Vamos Sonhar Juntos,Papa Francisco,/DISPONIVEL
77,O Esplêndido e o Vil,Erik Larson,/DISPONIVEL
78,Mataram Marielle,Chico Otávio,/DISPONIVEL
79,Royal City: Segredos em família,Jeff Lemire,/DISPONIVEL
80,O Retorno,Nicholas Sparks,/DISPONIVEL
81,Princípios do Estrategista,Felipe Miranda,/DISPONIVEL
82,Nada Ortodoxa,Deborah Feldman,/DISPONIVEL
83,Alexander Hamilton, Ron Chernow ,/DISPONIVEL
84,Box Five Nights at Freddys (Trilogia Completa),Scott Cawthon,/DISPONIVEL
85,BOX NÃO SE APEGA; NÃO,ISABELA FREITAS,/DISPONIVEL
86,Não é errado ser feliz,Linda Holmes,/DISPONIVEL
87,Não é errado ser feliz,Linda Holmes,/DISPONIVEL
88,A Segunda Vida de Missy,Beth Morrey,/DISPONIVEL
89,Quarenta e Quatro em Quarentena,Miguel Pinto Guimarães,/DISPONIVEL
90,Pachinko,Min Jin Lee,/DISPONIVEL
